Relation ID ; Absolute ; Relative ; Quadratic ; SquaredQError ; SquaredRelative ; Estimate ; Truth ; Tuples 
327985 ; 0.00002120 ; 212035.62281076 ; 0.00000000 ; 150.41831072 ; 44959105340.74720001 ; 2.120356e-05 ; 0.000000e+00 ; 4650
327985 ; 0.00758710 ; 0.90461548 ; 0.00005756 ; 5.52174327 ; 0.81832917 ; 7.999991e-04 ; 8.387097e-03 ; 4650
327985 ; 0.04282174 ; 0.39043352 ; 0.00183370 ; 0.24503220 ; 0.15243834 ; 6.685568e-02 ; 1.096774e-01 ; 4650
327985 ; 0.00701423 ; 0.48680851 ; 0.00004920 ; 0.44503071 ; 0.23698252 ; 7.394372e-03 ; 1.440860e-02 ; 4650
327985 ; 0.00168204 ; 0.12822114 ; 0.00000283 ; 0.01882919 ; 0.01644066 ; 1.143624e-02 ; 1.311828e-02 ; 4650
327985 ; 0.00882431 ; 0.44601108 ; 0.00007787 ; 0.34882087 ; 0.19892588 ; 1.096064e-02 ; 1.978495e-02 ; 4650
327985 ; 0.05009935 ; 0.44205308 ; 0.00250994 ; 0.34046226 ; 0.19541092 ; 6.323398e-02 ; 1.133333e-01 ; 4650
327985 ; 0.00070077 ; 0.27154822 ; 0.00000049 ; 0.10038368 ; 0.07373843 ; 1.879876e-03 ; 2.580645e-03 ; 4650
327985 ; 0.03404033 ; 0.55345292 ; 0.00115874 ; 0.64997528 ; 0.30631013 ; 2.746505e-02 ; 6.150538e-02 ; 4650
327985 ; 0.00397355 ; 0.36229433 ; 0.00001579 ; 0.09558627 ; 0.13125718 ; 1.494129e-02 ; 1.096774e-02 ; 4650
327985 ; 0.00080891 ; 0.47017911 ; 0.00000065 ; 0.40349972 ; 0.22106840 ; 9.115198e-04 ; 1.720430e-03 ; 4650
327985 ; 0.00430381 ; 0.25657299 ; 0.00001852 ; 0.08790317 ; 0.06582970 ; 1.247039e-02 ; 1.677419e-02 ; 4650
327985 ; 0.00299213 ; 0.42161817 ; 0.00000895 ; 0.29977928 ; 0.17776188 ; 4.104645e-03 ; 7.096774e-03 ; 4650
327985 ; 0.00021120 ; 0.98209287 ; 0.00000004 ; 0.46806573 ; 0.96450641 ; 4.262566e-04 ; 2.150538e-04 ; 4650
327985 ; 0.00218170 ; 0.67632749 ; 0.00000476 ; 1.27243600 ; 0.45741888 ; 1.044105e-03 ; 3.225806e-03 ; 4650
327985 ; 0.00065074 ; 0.60518947 ; 0.00000042 ; 0.86369012 ; 0.36625429 ; 4.245274e-04 ; 1.075269e-03 ; 4650
327985 ; 0.00534444 ; 0.51774260 ; 0.00002856 ; 0.53184537 ; 0.26805740 ; 4.978141e-03 ; 1.032258e-02 ; 4650
327985 ; 0.01749518 ; 0.39878716 ; 0.00030608 ; 0.25888382 ; 0.15903120 ; 2.637579e-02 ; 4.387097e-02 ; 4650
327985 ; 0.00247218 ; 0.20527905 ; 0.00000611 ; 0.05279160 ; 0.04213949 ; 9.570833e-03 ; 1.204301e-02 ; 4650
327985 ; 0.00923698 ; 0.60495710 ; 0.00008532 ; 0.86259684 ; 0.36597310 ; 6.031838e-03 ; 1.526882e-02 ; 4650
327985 ; 0.02948764 ; 0.51163263 ; 0.00086952 ; 0.51364075 ; 0.26176794 ; 2.814676e-02 ; 5.763441e-02 ; 4650
327985 ; 0.00009209 ; 920852.53849534 ; 0.00000001 ; 188.59683474 ; 847969397653.31835938 ; 9.208525e-05 ; 0.000000e+00 ; 4650
327985 ; 0.00033666 ; 3366579.20610331 ; 0.00000011 ; 225.88310517 ; 11333855550967.19335938 ; 3.366579e-04 ; 0.000000e+00 ; 4650
327985 ; 0.00098250 ; 0.50762250 ; 0.00000097 ; 0.50198583 ; 0.25768060 ; 9.529887e-04 ; 1.935484e-03 ; 4650
327985 ; 0.00080366 ; 0.16986554 ; 0.00000065 ; 0.02461410 ; 0.02885430 ; 5.534848e-03 ; 4.731183e-03 ; 4650
327985 ; 0.00774239 ; 0.44447054 ; 0.00005994 ; 0.34554839 ; 0.19755406 ; 9.676965e-03 ; 1.741935e-02 ; 4650
327985 ; 0.00021479 ; 0.99875443 ; 0.00000005 ; 44.73148906 ; 0.99751041 ; 2.677651e-07 ; 2.150538e-04 ; 4650
327985 ; 0.00142883 ; 0.41525245 ; 0.00000204 ; 0.28791279 ; 0.17243459 ; 2.012035e-03 ; 3.440860e-03 ; 4650
327985 ; 0.00403375 ; 0.36778321 ; 0.00001627 ; 0.21024327 ; 0.13526449 ; 6.933991e-03 ; 1.096774e-02 ; 4650
327985 ; 0.00732298 ; 0.47960364 ; 0.00005363 ; 0.42662389 ; 0.23001965 ; 7.945837e-03 ; 1.526882e-02 ; 4650
327985 ; 0.00008558 ; 855812.50407353 ; 0.00000001 ; 186.59034810 ; 732415042128.61352539 ; 8.558125e-05 ; 0.000000e+00 ; 4650
327985 ; 0.00074551 ; 0.34666316 ; 0.00000056 ; 0.18118852 ; 0.12017535 ; 1.405025e-03 ; 2.150538e-03 ; 4650
327985 ; 0.01005132 ; 0.32914532 ; 0.00010103 ; 0.15936283 ; 0.10833664 ; 2.048631e-02 ; 3.053763e-02 ; 4650
327985 ; 0.00202196 ; 0.25411080 ; 0.00000409 ; 0.08595346 ; 0.06457230 ; 5.935032e-03 ; 7.956989e-03 ; 4650
327985 ; 0.00007735 ; 0.35966115 ; 0.00000001 ; 0.19870001 ; 0.12935614 ; 1.377072e-04 ; 2.150538e-04 ; 4650
327985 ; 0.00024177 ; 0.56211722 ; 0.00000006 ; 0.19895355 ; 0.31597577 ; 6.718784e-04 ; 4.301075e-04 ; 4650
327985 ; 0.00546757 ; 0.51886112 ; 0.00002989 ; 0.53523756 ; 0.26921686 ; 5.070066e-03 ; 1.053763e-02 ; 4650
327985 ; 0.03512655 ; 0.40732786 ; 0.00123387 ; 0.27364818 ; 0.16591599 ; 5.111001e-02 ; 8.623656e-02 ; 4650
327985 ; 0.00685224 ; 0.45518420 ; 0.00004695 ; 0.36882243 ; 0.20719266 ; 8.201528e-03 ; 1.505376e-02 ; 4650
327985 ; 0.05473836 ; 0.43734254 ; 0.00299629 ; 0.33072190 ; 0.19126850 ; 7.042293e-02 ; 1.251613e-01 ; 4650
327985 ; 0.00034395 ; 1.59937098 ; 0.00000012 ; 0.91253979 ; 2.55798754 ; 5.590047e-04 ; 2.150538e-04 ; 4650
327985 ; 0.00009904 ; 0.05756630 ; 0.00000001 ; 0.00351527 ; 0.00331388 ; 1.621391e-03 ; 1.720430e-03 ; 4650
327985 ; 0.03850557 ; 0.33530134 ; 0.00148268 ; 0.16680810 ; 0.11242699 ; 7.633314e-02 ; 1.148387e-01 ; 4650
327985 ; 0.00080608 ; 0.18741249 ; 0.00000065 ; 0.04306939 ; 0.03512344 ; 3.495000e-03 ; 4.301075e-03 ; 4650
327985 ; 0.00016659 ; 0.19365705 ; 0.00000003 ; 0.04633090 ; 0.03750305 ; 6.936283e-04 ; 8.602151e-04 ; 4650
327985 ; 0.03076375 ; 0.48003844 ; 0.00094641 ; 0.42771652 ; 0.23043691 ; 3.332227e-02 ; 6.408602e-02 ; 4650
327985 ; 0.00150472 ; 0.99956630 ; 0.00000226 ; 59.95639974 ; 0.99913278 ; 6.527855e-07 ; 1.505376e-03 ; 4650
